,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세
360개월,1,1,1,1,2,2,2,1,2,2,2,4,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2
354개월,1,1,1,1,2,2,2,1,2,2,2,4,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2
348개월,1,1,1,1,2,2,3,2,3,3,3,4,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,3,3,2,2,2,1,1,1,1,1,1,1
342개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2
336개월,1,1,1,1,2,2,3,2,3,3,3,4,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,3,3,2,2,2,1,1,1,1,1,1,1
330개월,1,1,1,1,2,2,3,2,3,3,3,4,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,3,3,2,2,2,1,1,1,1,1,1,1
324개월,1,1,1,1,2,2,2,1,2,2,2,4,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2
318개월,1,1,1,1,2,2,2,1,2,2,2,4,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2
312개월,1,1,1,1,2,2,2,1,2,2,2,4,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2
306개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2
300개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,2,3,4,3,2,2,2,2,2,2,2,2
294개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,2,3,4,3,2,2,2,2,2,2,2,2
288개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,3,2,2,2,1,2,2,2,2,2,3,2,3,4,3,2,2,2,2,2,2,2,2
282개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,4,3,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2
276개월,1,1,1,1,2,2,2,1,1,2,3,3,3,5,5,5,4,3,2,2,1,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2
270개월,1,1,1,1,2,2,2,1,1,2,3,3,3,5,5,5,4,3,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2
264개월,1,1,1,1,2,2,2,1,1,2,3,3,3,5,5,5,4,3,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2
258개월,1,1,1,1,2,2,2,1,1,2,3,3,3,5,5,5,4,3,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2
252개월,1,1,1,1,2,2,2,1,1,2,3,3,3,5,5,5,4,3,2,2,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2
246개월,1,1,1,1,2,2,2,1,1,2,3,3,3,5,5,5,4,3,2,2,1,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2
240개월,1,1,1,1,2,2,2,1,1,2,3,3,3,5,5,5,4,2,2,2,2,3,3,3,3,2,4,4,5,4,3,3,3,3,2,2,2,3,2
234개월,1,1,1,1,2,2,2,1,1,2,3,3,3,5,5,5,4,2,2,2,2,3,3,3,3,2,4,4,5,4,3,3,3,3,2,2,2,3,2
228개월,1,1,1,1,2,2,2,1,1,2,3,3,3,4,5,5,4,2,2,2,2,3,3,3,3,3,3,4,4,3,3,3,3,3,2,2,2,3,2
222개월,1,1,1,1,2,2,2,1,1,2,3,3,4,4,4,4,3,2,1,1,2,2,2,2,2,2,3,3,4,3,3,2,2,2,2,2,2,2,2
216개월,1,1,1,1,2,2,2,1,1,2,3,3,4,4,4,4,3,2,1,1,2,2,2,2,2,2,3,3,4,3,3,3,2,2,2,2,2,2,2
210개월,1,1,1,1,2,2,2,1,1,2,3,3,4,4,4,4,3,2,1,1,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2
204개월,1,1,1,1,2,2,2,1,1,2,3,3,4,4,4,4,3,2,1,1,2,2,2,2,2,3,3,4,3,3,3,3,2,2,2,2,2,2,2
198개월,1,1,1,1,2,2,2,1,1,2,3,3,4,4,4,4,3,2,1,2,2,2,2,2,2,3,3,4,3,3,3,3,2,2,2,2,2,2,2
192개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,3,3,2,1,2,2,2,2,2,2,3,3,4,3,3,3,3,2,2,2,2,2,2,2
186개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,1,2,2,2,2,2,3,3,3,4,3,3,3,3,2,2,2,2,2,2,2
180개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1
174개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1
168개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1
162개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,4,4,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1
156개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,2,2,2,2,1,1
150개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,2,2,2,2,1,1
144개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,1,2,2,2,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,1,1
138개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,1,2,2,2,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,1
132개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,1,2,2,2,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,1
126개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
120개월,1,1,1,1,2,2,2,1,1,2,3,3,4,3,3,4,3,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
114개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,4,2,2,3,2,3,2,3,3,4,3,4,3,3,3,4,3,3,2,2,2,3,2
108개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,4,2,2,3,2,3,2,3,3,3,3,4,3,3,3,4,3,3,2,2,2,3,2
102개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,4,3,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,2,2,2,2,2,2
96개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,4,3,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,2,2,2,2,2,2
90개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,4,3,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,2,3,2,2,2,2
84개월,1,1,1,1,1,1,1,1,2,3,3,4,5,6,5,5,4,3,3,3,2,3,2,3,3,3,3,3,4,4,3,4,3,3,3,2,3,2,2
78개월,1,1,1,1,2,2,2,1,2,3,3,4,5,6,5,5,4,3,3,3,2,3,2,3,3,3,3,3,5,4,3,4,3,3,2,2,3,2,2
72개월,1,1,1,1,2,2,3,2,2,3,4,3,3,5,5,5,4,2,2,2,2,3,2,3,3,3,3,3,4,4,2,3,2,2,1,2,2,1,2
66개월,1,1,1,1,2,2,2,1,1,2,3,3,4,5,5,5,3,2,2,2,1,1,2,2,2,2,2,3,4,4,4,3,3,2,3,2,2,2,2
60개월,1,1,1,1,1,1,2,2,2,3,4,3,4,5,6,6,3,2,2,2,1,1,1,2,2,2,2,3,3,4,4,4,3,3,3,2,2,2,2
54개월,1,1,1,1,1,1,2,2,2,3,4,3,4,5,6,6,3,2,2,2,1,1,1,2,2,2,2,3,3,4,4,4,3,3,4,2,2,2,2
48개월,1,1,1,1,1,1,2,2,2,3,4,3,4,4,5,5,3,2,2,2,1,1,1,2,2,2,2,2,3,3,4,4,3,4,3,2,2,2,2
42개월,1,1,1,1,1,1,2,2,2,3,4,3,4,4,5,5,3,2,2,2,1,1,1,1,2,2,2,2,2,4,3,4,3,3,4,3,2,2,2
36개월,1,1,1,1,1,1,2,2,3,3,3,3,5,5,5,5,3,2,3,3,2,2,2,2,2,3,3,3,3,4,4,5,4,4,3,3,3,2,2
30개월,1,1,1,1,2,2,3,2,3,3,3,3,5,5,5,4,3,3,3,2,1,1,1,1,1,2,2,2,2,3,2,2,3,2,2,2,2,2,1
24개월,1,1,1,1,1,1,2,2,3,3,3,3,5,5,5,4,3,3,3,2,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2
18개월,1,1,1,1,2,2,3,2,3,3,3,3,5,5,5,4,3,3,2,2,1,1,1,1,1,1,2,2,2,2,3,2,2,3,2,2,2,2,2
12개월,1,1,1,1,2,2,3,2,3,3,3,3,5,5,5,4,3,2,2,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
